sid	text
Shifter.descr	The Shifter’s attack occasionally weakens the target’s attacks or drains its power. The Shifter’s shield also has a chance to clone itself onto a nearby allied Trisat or Tritech. Can also create hatchlings.
Trisat.name	Trisat
Trisat.descr	A regular melee unit that slows down nearby enemies. Its effectiveness is increased for a while after it deals a certain amount of damage.
Tritech.name	Tritech
Tritech.descr	A regular ranged unit. Has a chance to heal itself while attacking.
PsiDetonator.name	Psi Detonator
PsiDetonator.descr	Buffs all allys.
BigMutant2.name	Dave
BigMutant2.descr	Your mom.
	
AncientShade.name	Ancient Shade
AncientShade.descr	An Underworld creature whose attacks completely ignore armor.
Brute.name	Brute
Brute.descr	A well-armored melee unit that can attract enemy attacks. Becomes stronger for a while after delivering a killing blow.
Guardian.name	Guardian
Guardian.descr	A strong melee unit capable of creating copies of herself that fight independently. Can also enter a special state that grants a defense bonus to nearby units.
GuardianIllusion.name	Guardian Illusion
GuardianIllusion.descr	A copy of a Guardian.
HighPriest.name	High Priest
HighPriest.descr	A powerful and versatile magic user capable of healing organic allies and freezing enemies. Also has a strong special ranged attack.
HowlingHorror.name	Howling Horror
HowlingHorror.descr	Slow but powerful Underworld melee unit. Has a special defensive stance that allows it to heal itself.
Shaman.name	Shaman
Shaman.descr	A healer whose normal attack steals life from targeted enemies and redirects it to nearby allies. Can heal allies in a specific area and remove their negative effects.
Sorcerer.name	Sorcerer
Sorcerer.descr	A specialist in the elements of fire and ice whose normal attack slows the enemy. Can create molten spots on the ground that burn the units standing upon them.
StoneGhost.name	Stone Ghost
StoneGhost.descr	An Underworld creature who can steal enemies’ power and redistribute it to nearby allies. It also constantly heals nearby Underworld allies. Can infect an organic target so that it will spawn Soul Worms when killed.
Warrior.name	Warrior
Warrior.descr	A regular ranged unit. His attacks are strongest at his maximum range.
Worker.name	Worker
Worker.descr	A non-combat unit that can repair and build structures.
Worm.name	Soul Worm
Worm.descr	An Underworld creature spawned when an enemy afflicted by a Stone Ghost’s Corruption spell dies.
Eji2.name	Psychic
Eji2.descr	Strong single target healer.
EliteKaiRider.name	Elite Kai Rider
EliteKaiRider.descr	Mobile sniper.

	
// BUILDINGS //////////////////////////////////////////////////////////////////	
	
ControlTower.name	Control Tower
ControlTower.descr	The Control Tower extracts xenolite. It has defenses and may be upgraded with turrets and a motion detector. You can use it to order more units.
OreExtractor.name	Ore Extractor
OreExtractor.descr	The Ore Extractor mines for xenolite and acts as a defense facility. It can be upgraded to a Control Tower.
	
Temple.name	Temple
Temple.descr	The Temple harnesses the xenolite’s energy. It also attacks nearby enemies and replenishes the hit points and power of nearby allies. You can use it to order more units or to summon Workers.
Shrine.name	Shrine
Shrine.descr	The Shrine harnesses the xenolite’s energy and also heals nearby allies. It can also be used to summon Workers, and may be upgraded to a Temple.
	
Portal.name	Portal
Portal.descr	The Portal consumes xenolite. It also spawns Eggs and has a negative influence on nearby enemies. You can use the Portal to order more units and to remotely build Breeders.
Breeder.name	Breeder
Breeder.descr	The Breeder consumes xenolite and spawns Eggs. You can use it to order low-tier units (Trisats and Tritechs). The Breeder can be upgraded to a Portal.
	
// RESOURCES AND OTHER OBJECTS ////////////////////////////////////////////////	
	
Artifact1.descr	This is an ancient artifact. You can examine it with your field leader.
Artifact1.name	Artifact
Artifact2.descr	This is an ancient artifact. You can examine it with your field leader.
Artifact2.name	Artifact
Artifact3.descr	This is an ancient artifact. You can examine it with your field leader.
Artifact3.name	Artifact
BehaviorWaypoint.name	NPC behavior waypoint
MissionAreaCorner.name	Mission area corner
PersonnelCarrier.name	Personnel Carrier
ReliefCell.name	Relief Cell
Thunder.name	Twister
Vortex.name	Vortex
Xenolite.name	Xenolite
Xenolite.descr	You can construct a building at this xenolite deposit to increase your resource income.
XenoliteBarge.name	Xenolite Barge
	
// SPECIALIZATIONS ////////////////////////////////////////////////////////////	
	
I_A1A.name	Terrify
I_A1A.text	Your Trisats’ Frenzy will last [stats.frenzy_duration] additional seconds after they stop doing damage.
I_A1H.name	Durability
I_A1H.text	All your regular units will have [stats.hp] more hit points.
I_A1M.name	Thunder Focus
I_A1M.text	Your High Priest’s Lightning action will do [stats.lightning_damage] more damage.
I_A2A.name	Overpower
I_A2A.text	All your regular units will do [stats.damage] more direct damage.
I_A2H.name	Overclocking
I_A2H.text	All your cybernetic units will auto-repair faster by [stats.hp_gen] without recovery time and will also do [stats.damage] additional direct damage.
I_A2M.name	Freeze Mastery
I_A2M.text	Your High Priest’s Freeze action will hold for [stats.freeze_duration] additional seconds.
I_B1A.name	Prophesy
I_B1A.text	Your Master will regenerate power faster by [stats.psi_gen].
I_B1H.name	Elusion
I_B1H.text	Your Rippers will have [stats.elusion]% chance to completely ignore direct ranged attacks coming from within melee range.
I_B1M.name	Weapons Training
I_B1M.text	Your Warriors will have an additional [stats.crit_chance]% chance to deliver a critical hit, inflicting double damage.
I_B2A.name	Fire Focus
I_B2A.text	Your Tritechs will have an additional [stats.crit_chance]% chance to deliver a critical hit, inflicting double damage.
I_B2H.name	Crushing Fire
I_B2H.text	All your units will have an additional [stats.crit_chance]% chance to deliver a critical hit, inflicting double damage.
I_B2M.name	Power Mastery
I_B2M.text	Your High Priest and all your Elders will regenerate their power faster by [stats.psi_gen].
I_B3A.name	Bio-Split
I_B3A.text	When a Tritech is killed there is a [stats.bio_split_chance]% chance for 2-3 Hatchlings to spawn from its corpse.
I_B3H.name	Motivation
I_B3H.text	Troopers will have [stats.motivation]% chance to become Elite after performing a critical attack on their target.
I_B3M.name	Dark Binding
I_B3M.text	All your Underworld units (Ancient Shade, Howling Horror, Stone Ghost, and Soul Worm) will regenerate hit points faster by [stats.hp_gen], with no recovery time.
I_C1A.name	Demonic Hunger
I_C1A.text	Your Master’s Feed action will add additional [stats.feed_add_heal] healing per tick for each affected target.
I_C1H.name	Precision
I_C1H.text	All your Troopers will do [stats.damage] additional points of direct damage.
I_C1M.name	Natural Protection
I_C1M.text	All your regular units will gain [stats.hp] additional hit points.
I_C2A.name	Imminence
I_C2A.text	The Harvester will have a [stats.confuse_chance]% chance on every strike to stress his target, forcing it to focus its attacks on the Harvester.
I_C2H.name	First Aid Mastery
I_C2H.text	The Surgeon’s First Aid will have an additional [stats.bandage_crit]% chance to heal for twice the usual amount.
I_C2M.name	Healing Grace
I_C2M.text	Your High Priest’s Holy Aura will heal for [stats.holy_aura_heal] more hit points.
I_D1A.name	Barrier Cure
I_D1A.text	All your units will regenerate hit points faster by [stats.hp_gen] without recovering.
I_D1H.name	Barrier Armor
I_D1H.text	The Lord Commander will have [stats.armor] additional armor and hit points.
I_D1M.name	Nature Focus
I_D1M.text	Your Shamans will have a [stats.drain_life_chance]% higher chance to drain life while attacking enemies. Also, each time a Shaman drains life, he will purge one positive effect from his target.
I_D2A.name	Charged Armor
I_D2A.text	Your Master and all your Wardens will have [stats.hp] additional hit points.
I_D2H.name	Overtraining
I_D2H.text	All your Officers will have [stats.hp] more hit points.
I_D2M.name	Elemental Focus
I_D2M.text	Your High Priest, Sorcerer, and Shaman will do [stats.damage] more damage with their direct attacks.
I_D3A.name	Bio-Cycle
I_D3A.text	When a Trisat dies in sight of the Master, there is a [stats.bio_cycle_chance]% chance for the Master to recycle it with 25% of its hit points. Recycled Trisats will lose all beneficial effects they might have had before they were killed.
I_D3H.name	Power Surge
I_D3H.text	Your Lord Commander and all your Officers will restore their power faster by [stats.psi_gen].
I_D3M.name	Beast Training
I_D3M.text	Your Brutes will get [stats.hp] more hit points and [stats.armor] additional armor. Also, Brutes will have a [stats.ignite_on_strike_chance] chance to Ignite after each attack, instead of after a killing blow.
	
// GLOBAL ACTIONS /////////////////////////////////////////////////////////////	
	
AirAssaultAction.name	Air Assault
AirAssaultAction.descr	Calls for air support from the home city. A squadron of attack aircraft will bombard the entire map for a short time, focusing fire on enemy targets. Avoid being close to enemy forces or structures!
EliteSquadAction.name	Shock Troops
EliteSquadAction.descr	Calls for a small squad of elite Shock Troopers to be teleported to the appointed location. They will fight on your side but cannot be given orders. If there are no enemy targets nearby, the surviving Shock Troopers will teleport back to the city.
ProtonBlastAction.name	Proton Blast
ProtonBlastAction.descr	Calls for the home city’s defensive cannons to aim and shoot at the selected area. The Proton Blast will seriously damage all units in a large area, but beware friendly fire!
	
MindVisionAction.name	Mind Vision
MindVisionAction.descr	Directs Nature’s energies into the selected area, granting visibility for several seconds.
ThunderAction.name	Thunderstorm
ThunderAction.descr	Creates a twister that roams around the selected area, occasionally emitting lightning bolts that damage nearby enemies.
NaturesGraceAction.name	Nature’s Grace
NaturesGraceAction.descr	Commands the powers of Nature to instantly heal all wounds and repair all damage of all friendly units in the selected area.
	
HorrifyAction.name	Horrify
HorrifyAction.descr	Horrifies all enemy units in a small area, making them run in fear and shoot chaotically.
MarkOfChaosAction.name	Mark of Chaos
MarkOfChaosAction.descr	Marks all enemy units in a large area, causing them to suffer minor damage over time and making them visible on the minimap for the duration of the effect.
InfestAction.name	Infest
InfestAction.descr	Spawns a hatchling infestation at the appointed location. They will fight on your side but cannot be given orders. If there are no enemy targets nearby, the surviving hatchlings will vanish.
	
// BUILDING ACTIONS ///////////////////////////////////////////////////////////	
	
BreederUpgrade.name	Portal
BreederUpgrade.descr	Upgrades the Breeder to a Portal.
CancelUnitProduce.name	Cancel Unit Production
DetectMotionAction.name	Motion Scanner
DetectMotionAction.descr	An upgrade that allows the Control Tower to detect all units moving within a certain range.
OreExtractorUpgrade.name	Control Tower
OreExtractorUpgrade.descr	Upgrades the Ore Extractor to a Control Tower.
PerimeterDefenseAction.name	Perimeter Defense
PerimeterDefenseAction.descr	An upgrade that adds three defense turrets to the Control Tower.
PossessAction.name	Possess
PossessAction.descr	Infests a select xenolite deposit with construction spores. If no one builds a structure there for a set amount of time, a Breeder is automatically spawned.
RallyPoint.name	Set Rally Point
ShiftingRayAction.name	Shifting Ray
ShiftingRayAction.descr	Teleport all allied units near the Master to the specified destination.
ShrineUpgrade.name	Temple
ShrineUpgrade.descr	Upgrades the Shrine to a Temple.
SummonWorkersAction.name	Summon Workers
SummonWorkersAction.descr	Summons several Workers who can repair structures and build Shrines at xenolite deposits.
FireLashAction.name	Fire Lash
FireLashAction.descr	An upgrade that provides a significant boost to the Temple’s defense.
	
// UNIT ACTIONS ///////////////////////////////////////////////////////////////	
	
Reinforce.name	Call Reinforcements
Reinforce.descr	Click to restore all units lost from the beginning of the mission.
RainOfFireAction.name	Rain of Fire
RainOfFireAction.descr	Drags a number of meteorites from the newly formed Earth Belts down to the planet’s surface, causing heavy damage in the designated area.
ActionRelief.name	Relief
ActionRelief.descr	The Surgeon activates a special Relief Cell that heals [stat:relief_healpersec] hit points per second to all friendly living units nearby. The Relief Cell remains active for [stat:relief_duration] seconds.
Barrage.name	Barrage
Barrage.descr	Fires a short volley of ion rockets from a distance. Each rocket inflicts [stat:rocket_damage] damage to all targets in a small area.
BreedAction.name	Breed
BreedAction.descr	The Shifter summons [stat:breed_hatchlings] Hatchlings at the selected area. They will automatically attack nearby enemies.
ConfuseAction.name	Confuse
ConfuseAction.descr	A tactical maneuver that forces all enemies in a small area to focus their attacks on the Lord Commander for [stat:confuse_duration] seconds and increases his armor by [stat:confuse_armor_perc_buff]% for the same period. This effect may be shorter if the affected enemies lose sight of the Lord Commander.
CorruptionAction.name	Corruption
CorruptionAction.descr	The Stone Ghost corrupts all enemy units in a select area, causing them to suffer [stat:corruption_damage] points of damage per tick for [stat:corruption_duration] seconds. If the target dies while corrupted, a small number of Soul Worms will spawn, protecting the area and attacking enemies.
DarkVortexAction.name	Dark Vortex
DarkVortexAction.descr	Creates a vortex of nether energy that occasionally strikes nearby allied units with nether light, healing [stat:vortex_heal] hit points. The vortex stays for [stat:vortex_duration]seconds and then disappears.
DominatorDimensionChainAction.name	Dimension Chain
DominatorDimensionChainAction.descr	All enemies in the selected area will be caught in a dimensional stasis for [stat:dimension_chain_duration]seconds. While in stasis, the enemies are stunned and suffer [stat:dimension_chain_dmgbonus]% more damage from all sources.
DominatorPowerFuseAction.name	Power Fuse
DominatorPowerFuseAction.descr	All enemy units around the Dominator instantly lose [stat:power_fuse_perc]% of their power.
FateLinkAction.name	Fate Link
FateLinkAction.descr	The Ancient Shade uses its wealth of knowledge to establish a powerful link with a friendly unit for [stat:fatelink_duration] seconds. Any damage received by the friendly unit will be shared between the unit and all Ancient Shades currently linked to it. The link will be destroyed if the Ancient Shade moves.
FearShockAction.name	Fear Shock
FearShockAction.descr	Instills fear in all enemies in the selected area, causing them to run in terror for [stat:fear_shock_duration] seconds.
FeedAction.name	Feed
FeedAction.descr	The Master channels powerful nether light that does [feed_base_damage] damage each tick for [stat:feed_duration] seconds. It also drains the same amount of life from the affected target and spreads it to any allies near the Master, healing them. The beam splits at the target and jumps to other targets. The healing efficiency increases with each additional target, though the damage decreases.
FireSweep.name	Fire Sweep
FireSweep.descr	Blasts the area surrounding the Hellfire, inflicting [stat:sweep_damage] damage to all nearby targets. Beware friendly fire!
FortifyAction.name	Fortify
FortifyAction.descr	The Guardian uses her powers to emit an aura that gives [stat:fortify_armor_add_perc]% plus [stat:fortify_armor] additional armor to all nearby allied units. While the Guardian is fortified, her power doesn’t regenerate and the effect will be cancelled if she is ordered to move. This effect doesn’t stack.
FreezeAction.name	Freeze
FreezeAction.descr	The High Priest uses his power to conjure a chilling blast at an indicated area, causing all enemies to freeze in place for [stat:freeze_duration] seconds.
FrostWaveAction.name	Frost Wave
FrostWaveAction.descr	The Sorcerer instantly expels a powerful Frost Wave that slows down all affected units by [stat:chill_perc]% for [stat:chill_duration] seconds.
HolyShockAction.name	Holy Shock
HolyShockAction.descr	The High Priest concentrates and uses Nature’s powers to completely restore the hit points of an allied unit.
HowlAction.name	Howl
HowlAction.descr	Instills fear in all nearby enemies for [stat:howl_fear_duration] seconds and goes into a defensive stance for [stat:howl_duration] seconds. In this stance, the Horror heals itself for [stat:howl_hp_perc]% of its hit points per tick and ignores [stat:howl_ignore_perc]% of all incoming damage.
IllusionAction.name	Illusion
IllusionAction.descr	The Guardian uses her powers to create two copies of herself. The Illusions will last for [illusions_duration] seconds and will then disappear. They are as deadly as the Guardian herself!
IncinerateAction.name	Incinerate
IncinerateAction.descr	The Sorcerer heats and melts the ground in a selected area. All units standing on the molten spot suffer [stat:incinerate_damage] points of damage per tick. The effect lasts for [stat:incinerate_duration] seconds.
InjectAction.name	Inject
InjectAction.descr	The Lord Commander injects himself with a powerful medicinal mixture that restores [stat:inject_hp] hit points over [stat:inject_duration] seconds.
LightningAction.name	Lightning
LightningAction.descr	The High Priest channels his power into a deadly bolt of lightning, striking an enemy for [stat:lightning_damage] points of damage.
ManipulateAction.name	Manipulate
ManipulateAction.descr	Remove all harmful effects from all friendly units, increase their hitpoints by [stat:manipulate_hp_perc]% and power by [stat:manipulate_power_perc]% for [stat:manipulate_duration]seconds.
MendAction.name	Mend
MendAction.descr	The Surgeon will mend а wounded friendly unit, restoring a total of [stat:mend_heal] hit points over [mend_duration] seconds.
MorphAction.name	Morph
MorphAction.descr	Morphs the Field Overseer into a Power Overseer.
MorphAction.descr_field	Morphs the Field Overseer into a Power Overseer.
MorphAction.descr_power	Morphs the Power Overseer into a Field Overseer.
NanofixAction.name	Nanofix
NanofixAction.descr	The Constructor beams a cloud of highly energized microscopic Cell Bots onto a friendly machine unit, instantly repairing [stat:nano_fix_heal] hit points.
NetherNovaAction.name	Nether Nova
NetherNovaAction.descr	The Master creates a blast of nether energy that inflicts [stat:nether_nova_damage] damage to all enemies in a small area.
PoisonShotAction.name	Poison Flare
PoisonShotAction.descr	Shoot a poisonous flare at the selected area, all targets will be slowed for [stat:poison_shot_perc]% and take [stat:poison_shot_damage] damage every 2 seconds for [stat:poison_shot_duration] seconds. Beware friendly fire!
ProtonShotAction.name	Proton Grenade
ProtonShotAction.descr	The Judge shoots a special proton grenade that inflicts [stat:proton_shot_damage] points of damage to all enemies in a small area and burns [proton_shot_power_burn] points of power from them, slightly increasing the total inflicted damage.
PurifyAction.name	Purify
PurifyAction.descr	Instantly removes all harmful effects from all friendly units in the selected area.
RenewAction.name	Renew
RenewAction.descr	The Shaman uses his power to instantly restore [stat:rejuvenation_amount] hit points to all friendly units in the chosen area.
RepairDrones.name	Repair Drones
RepairDrones.descr	The Constructor summons [stat:repairdrones_number] Repair Drones that will follow him and repair nearby damaged machines, including himself. The Repair Drones will stay active for [stat:repairdrones_time_to_live] seconds. Each Drone is capable of repairing [stat:repairdrones_repair_per_tick] hit points per tick.
VoiceofCommandAction.name	Voice of Command
VoiceofCommandAction.descr	Commands all allies, improving their damage by [stat:voiceofcommand_damage_perc]% for [stat:voiceofcommand_duration] seconds.
TeleportOfficerAction.name	Teleport Officer
UnholyPowerAction.name	Unholy Power
UnholyPowerAction.descr	Stone Ghost drains energy from the Underworld and charges all nearby friendly units. The effect restores [stat:unholy_power_restore_perc]% of the affected unit's total power every second. The effect lasts for [stat:unholy_power_duration] seconds or until the Stone Ghost is moved or killed.
VitalitySurgeAction.name	Vitality Surge
VitalitySurgeAction.descr	Instantly restores [stat:vitality_surge_gain]% of the Harvester’s hit points.
Worker.WorkerRepairAction.name	Repair Building
	
///////////////// BUILDING ABILITIES /////////////////////////////////////////////////////////	
	
ControlTower.abilities.LargeCrew.name	Large Crew
ControlTower.abilities.LargeCrew.text	If there are no enemies near the Control Tower, its maintenance crew of three Technicians comes out to repair any damage the building may have taken. If the damage exceeds 75%, an additional Technician will show up.
ControlTower.abilities.MotionScanner.name	Motion Scanner
ControlTower.abilities.MotionScanner.text	The Control Tower detects all units moving within a certain range.
OreExtractor.abilities.SmallCrew.name	Small Crew
OreExtractor.abilities.SmallCrew.text	If the Ore Extractor is damaged and there are no enemies nearby, two technicians will arrive to repair the damage.
	
Shrine.abilities.SpiritTapAbi.name	Spirit Tap
Shrine.abilities.SpiritTapAbi.text	Every [stat:spirit_sanctum_interval] seconds, the Shrine regenerates [stat:spirit_sanctum_hp_perc]% of the hit points of all organic friendly units in a medium-sized area around the Shrine itself.
Temple.abilities.DarkWindAbi.name	Dark Wind
Temple.abilities.DarkWindAbi.text	When hostile troops approach the Temple, dark clouds gather over its peak, raining lightning strikes down upon the attackers. Each lightning hit deals [stat:dark_wind_damage] points of damage.
Temple.abilities.FireLashAbi.name	Fire Lash
Temple.abilities.FireLashAbi.text	The Fire Lash upgrade raises the damage dealt by the Temple’s lightning bolts to [stat:fire_lash_damage]. The bolts also create molten spots on the ground that deal [stat:fire_lash_area_damage] points of damage per tick to any units standing upon them.
Temple.abilities.SpiritSanctumAbi.name	Spirit Sanctum
Temple.abilities.SpiritSanctumAbi.text	Every [stat:spirit_sanctum_interval] seconds, the Temple regenerates [stat:spirit_sanctum_hp_perc]% of the hit points and [stat:spirit_sanctum_power_perc]% of the power of all friendly organic units in a large area around it.
	
Breeder.abilities.BreedEggs.name	Breed Eggs
Breeder.abilities.BreedEggs.text	The Breeder spawns Eggs that serve as a defense facility.
Portal.abilities.BreedEggs.name	Breed Eggs
Portal.abilities.BreedEggs.text	The Portal spawns Eggs that serve as a defense facility. It can maintain more eggs than the Breeder.
Portal.abilities.CorruptionField.name	Corruption Field
Portal.abilities.CorruptionField.text	The Portal’s Corruption Field inflicts [corruption_field_damage] points of damage per tick to nearby enemies.
Portal.abilities.SuppressionField.name	Suppression Field
Portal.abilities.SuppressionField.text	The Portal’s Suppression Field slows the nearby enemies by [suppression_field_slow_perc]%.
	
/////////////// ABILITIES //////////////////////////////////////////////////////////////////	
	
Ability_Rupture.name	Rupture
Ability_Rupture.text	The Ripper’s attack has [stat:rupture_chance]% chance to stun its target for [stat:rupture_stun_duration] seconds and cause [stat:damage] damage to all surrounding enemies.
AlienEgg.abilities.ClammyAcid.name	Acid Burst
AlienEgg.abilities.ClammyAcid.text	The Eggs fire acid bursts at nearby enemies, reducing the efficiency of their armor by [stat:clammy_acid_armor_perc]%. This effect stacks up to 5 times.
AlienEgg.abilities.Hatchlings.name	Hatchlings
AlienEgg.abilities.Hatchlings.text	If the Egg is destroyed, the Hatchlings inside will become enraged and automatically attack nearby enemies.
AlienEgg.abilities.Sizzle.name	Sizzle
AlienEgg.abilities.Sizzle.text	The Egg occasionally releases sizzling bursts of energy. These discharges reduce the damage dealt by all nearby enemies by [sizzle_damage_reduction_perc]%.
AncientShade.abilities.UnholyAttackAbi.name	Unholy Attack
AncientShade.abilities.UnholyAttackAbi.text	The Shade’s default attacks completely penetrate the enemy’s armor.
Assassin.abilities.Sharpshooter.name	Sharp Shooter
Assassin.abilities.Sharpshooter.text	Assassins are devastating at their maximum range but their efficiency quickly drops at shorter distances. Try to position them accordingly during combat and avoid forcing them to fight at close range.
AssaultBotAbilities.Rocket.name	Concussion Rocket
AssaultBotAbilities.Rocket.text	The Assault Bot has a [stat:rocket_precision_chance]% chance on each attack to also launch a Concussion Rocket at a nearby target. The resulting explosion will reduce the effectiveness of the affected enemies, causing them to do [stat:rocket_precision_damage_perc]% less damage with their default attacks. The effect stacks up to 5 times.
Brute.abilities.GrowlAbi.name	Growl
Brute.abilities.GrowlAbi.text	The Brute has a [stat:growl_chance]% chance on each attack to draw its target’s attention, causing the target to focus its attacks exclusively on the Brute for [stat:growl_duration] seconds.
Brute.abilities.IgniteOnHitAbi.name	Ignite
Brute.abilities.IgniteOnHitAbi.text	After striking its target, the Brute has a [stat:ignite_on_strike_chance]% chance to fly into a rage, igniting itself for [stat:ignite_duration] seconds. The ignited Brute inflicts additionally [ignite_damage] damage on up to [ignite_targets] targets in front of it.
Brute.abilities.IgniteOnKillAbi.name	Ignite
Brute.abilities.IgniteOnKillAbi.text	After performing a killing blow on its target, the Brute will fly into a rage, igniting itself for [stat:ignite_duration] seconds. The ignited Brute inflicts additionally [ignite_damage] damage on up to [ignite_targets] targets in front of it.
ChainLightningAbi.name	Chain Lightning
ChainLightningAbi.text	The Sorcerer has a [stat:chainlightning_chance]% chance to cast Chain Lightning for [stat:chainlightning_duration]seconds spreading to nearby targets.
ChainShotAbi.name	Chain Shot
ChainShotAbi.text	The Arbiter has a [stat:chain_shot_chance]% chance with every shot to trigger a plasma chain reaction, damaging [stat:chain_shot_hops] additional enemies.
ChargeAbi.name	Charge
ChargeAbi.text	When approaching an enemy, the Guardian may dart through the last several meters, instantaneously getting within fighting range.
DeathRumbleAbi.name	Death Rumble
DeathRumbleAbi.text	The Horror has a [stat:death_rumble_chance]% chance to invoke an Unholy Nova, inflicting [stat:death_rumble_damage] points of damage to all nearby enemies.
DischargeAbi.name	Discharge
DischargeAbi.text	The Judge’s attack has a [stat:discharge_chance]% chance to deduct [burned_power] power from his target and convert it into damage, jumps to and damages [stat:discharge_hops] additional targets.
DominatorBlightRayAbi.name	Blight ray
DominatorBlightRayAbi.text	The Dominator’s default attacks completely ignore the enemies’ armor.
DominatorStasisShotAbi.name	Stasis shot
DominatorStasisShotAbi.text	The Dominator has a [stat:stasis_shot_chance]% chance to stun his target for [stat:stasis_shot_duration] seconds and inflict double damage when shooting.
EnfeebleAbi.name	Enfeeble
EnfeebleAbi.text	The Shifter has a [stat:enfeeble_chance]% chance on each attack to enfeeble all enemy units around its target for [stat:enfeeble_duration] seconds, reducing their damage by [stat:enfeeble_damage_reduction_perc]%. The effect stacks up to 5 times.
ExposeTargetAbi.name	Expose
ExposeTargetAbi.text	The Assassin has a [stat:expose_target_chance]% chance on every shot to pierce the target’s armor, reducing its effectiveness by [stat:expose_target_armor_perc]% for [stat:expose_target_armor_duration] seconds. This effect stacks up to 5 times.
FeedbackAbi.name	Feedback
FeedbackAbi.text	The Tritech has a [stat:feedback_chance]% chance to heal itself for [stat:feedback_heal] hit points when shooting.
Harvester.abilities.ImminenceAbi.name	Imminence
Harvester.abilities.ImminenceAbi.text	The Harvester has a [stat:confuse_chance]% chance on each attack to draw his target’s attention, causing the target to focus its attacks on the Harvester for 10 seconds.
HarvesterHarvestAbi.name	Harvest
HarvesterHarvestAbi.text	The Harvester has a [stat:harvest_chance]% chance on each attack to perform a special strike that hits all targets around him, stunning them and healing the Harvester for [stat:damage]
HarvesterParalyzingField.name	Paralyzing Field
HarvesterParalyzingField.text	The Harvester slows the movement of all nearby organic enemies by [stat:paralyzing_field_speed_reduction_perc]%.
Hatchling.abilities.ThreatenAbi.name	Threaten
Hatchling.abilities.ThreatenAbi.text	The Hatchling has a [stat:threaten_chance]% chance on each attack to threaten its target, forcing it to focus its attacks solely on the Hatchling itself for [stat:threaten_duration] seconds.
HellfireAbilities.Shield.name	Force Field
HellfireAbilities.Shield.text	A powerful shield that is automatically activated when the Hellfire is attacked. The force field has a durability of [stat:shield_hull], a charge rate of [stat:shield_regen], a [stat:shield_fullabsorbchance]% chance for full deflection and a damage absorption of [stat:shield_percentabsorbtion]%.
HollowVoiceAbi.name	Hollow Voice
