style	text
default	Jalil Abdallaoui<nl>Johannes Anger<nl>Eva Frings<nl>Michael Heise<nl>Cyprian Hercka<nl>Christian Justus<nl>Stephan Kassung<nl>Markus Kreutzer<nl>Andreas Ochsner<nl>Susanne Meyer<nl>Sabine Moormann<nl>Thomas Voigtländer<nl>Svea Vollbrecht<nl>Georg Weber<nl>Johannes Züll<nl><nl>Thepixelz.com<nl>Oliver Funke<nl>Alessandro Riggio
default	
firm	NBG Multimedia
whiteline	
default	
position	Sales Manager
default	Oliver Graubner and the NBG sales team
default	
firm	Keyfactor
whiteline	
default	
position	PR Executive
default	Sabine Kaiser
default	
position	PR Manager
default	Jens Friedrich
default	
position	Executive Producer
default	Frank Fay
default	
position	Producer
default	Alexander Köhler
default	
position	Production Assistant
default	Markus Michel
default	
position	Quality Assurance Manager
default	Alwin Mangundirjo
default	
position	Quality Assurance Lead
default	Kay Knecht
default	
position	Quality Assurance Engineers
default	Dorina Küster<nl>Patrick Galaske<nl>Stefan Grötzschel<nl>Pascal Skeib<nl>Florian Turbansich<nl>Erna Mangundirjo<nl>Maik Zimmer<nl>Patrick Urankar<nl>Johannes de Frênes
default	
position	Additional Feedback
default	Benedikt Leurs
default	
position	Text Editing
firm	Digital Wordsmithing
whiteline	
default	Ryan Newman<nl>Nick Stewart
default	
position	German Localization
firm	4-Real Intermedia GmbH
whiteline	
default	
position	Voices
default	Helmut Winkelmann<nl>Peter Wenke<nl>Wolf von Lindenau<nl>Hans-Jörg Karrenbrock<nl>Ines Rudolph-Breuer<nl>Helge Heynhold<nl>Gordon Piedesack<nl>Andreas Gröber<nl>Andreas Sparberg<nl>Aart Veder<nl>Abak Safae-rat<nl>Gabi Franke<nl>Karl-Jürgen Sihler<nl>Richard van Weyden<nl>Achim Barrenstein<nl>Stephan Müller-Ruppert
default	
position	English/French Localization
firm	Outsource Media Ltd.
whiteline	
default	Mark Estdale<nl>Yann Lahellec<nl>Kit Challis<nl>Rachel Lankester
default	
position	Voices
default	Alex Woodhall<nl>Bill Roberts<nl>Christopher Ragland<nl>David Brooks<nl>Derek Hagen<nl>Hether Coombs<nl>James Alper<nl>Kira Lauren<nl>Laurence Bouvard<nl>Nigel Winder<nl>Noah Lee Margetts<nl>Peter Banks<nl>Peter Marinker<nl>Qarie Marshall<nl>Richard Marsland<nl>Robin Brown<nl>Stanley Townsend<nl>Tim Beckmann<nl>Walter Lewis
default	
default	English version recorded and produced at OM London and French version recorded at La Marque Rose in Paris.
default	
position	Cinematics
firm	5th Degree
whiteline	
url	www.5th-degree.com
default	
position	Unit LODs
firm	Pilgrim Interactive
whiteline	
default	Ivelin G. Ivanov<nl>Georgi Georgiev<nl>Milovan Kolev<nl>Vasil Dikov<nl>Ana Ivanova
default	
position	Compatiblity Testing
firm	PMTC Belgium
whiteline	
default	
firm	NVIDIA
whiteline	
default	Reinhard Doepfer
default	
position	Official Game Website
firm	Byteberry Ltd.
whiteline	
url	www.byteberry.com
default	
default	Asian samples courtesy of Spectrasonics Heart of Asia 
default	African samples courtesy of Spectrasonics Heart of Africa
default	Percussion samples from “Percussive Adventures” 1 & 2
default	Samples from “Voices of Native America” courtesy of QUP Arts
default	
dark	Special Thanks
default	
default	Frank Fay<nl>Ulf Neumann<nl>Gabriel Hacker<nl>Chandra Schanz<nl>Ivo Petrov<nl>Pavel Genevski
default	
default	Chaos Group for their wonderful V-Ray renderer<nl>InterBGCom
default	
default	
default	Electronic Sports League
url	www.esl.eu
default	
default	Aeto, Arjuna, DanteOne, DemonSVK, emosquito, ezsteel,
default	Garand, Heads, HereticArachnid, Hexon, jediguardian,
default	LouisZeyphr, nOpe, okitu, Ronon, Suck, Testament,
default	and all other active beta testers for their valuable feedback
default	
default	The community of Knights of Honor for their support<nl>Our spouses and any significant others for their patience
default	
whiteline	 
default	
default	
default	
default	
default	This product contains software technology licensed from GameSpy Industries, Inc. © 1999-2008 GameSpy Industries, Inc. GameSpy and the “Powered By GameSpy” design are trademarks of GameSpy Industries, Inc. All rights reserved.
default	 
default	Uses Bink Video. Copyright © 1991-2008 by RAD Game Tools, Inc.
default	
default	Uses AGEIA PhysX™ by AGEIA Technologies, Inc.
default	
default	Powered by the Gamebryo™ engine from Emergent Game Technologies.
