sid	text:fr
obj.Find Tharksh's ship	Trouver le vaisseau de Tharksh
obj.Protect the Psi Resonator	Protéger le résonateur Psi
obj.Defeat the enemy Master	Vaincre le Maître ennemi
	
// 32	
obj.Locate the enemy base	Trouver le camp ennemi
obj.Destroy the enemy base	Détruire le camp ennemi
obj.Protect the ship	Protéger le vaisseau
obj.Ship hull:	Carlingue du vaisseau :
obj.Deal with the gas	S’occuper du gaz
	
// 33	
obj.Protect the ship	Protéger le vaisseau
obj.Time until next turret arrives:	Temps avant le prochain canon-tour :
obj.Help the mutants	Aider les mutants
obj.Destroy the AA site	Détruire le site AA
obj.AA facility hull	Protection du site AA
	
// 34	
obj.Proceed onward	Suivre le chemin
obj.Protect the Psi Resonator	Protéger le résonateur Psi
obj.Eliminate Vasilii	Éliminer Vasilii
obj.Vasilii health left:	Santé de Vasilii :
obj.Destroy the mutants temple	Détruire le temple mutant
obj.Temple hit points:	Points de vie du temple :
obj.Secure the landing zone	Défendre la zone d’atterrissage
obj.Time until the ship arrives:	Temps avant l’arrivée du vaisseau :
	
// 35	
obj.Escort Eji to the Shard	Escorter Eji au Shard
obj.Disable the teleporter	Désactiver le téléporteur
obj.Find the teleporter controls	Trouver les commandes du téléporteur
obj.Use only alien units	Utiliser uniquement des unités Jaar Lash
obj.Activate the teleporter	Activer le téléporteur
obj.Teleport all friendly units	Téléporter les unités alliées
obj.Use the teleporter to escape	S’échapper avec le téléporteur
obj.All avatars must be in range	Tous les personnages doivent être à portée
	
// 36	
obj.Attack the enemy psychic	Attaquer le télépathe ennemi
obj.Protect Eji	Protéger Eji
obj.Find suitable spot for Eji	Trouver un bon endroit pour Eji
	
// ROM	
obj.Engage HF1337	Attaquer le HF1337
obj.Shuttle arrives in:	Arrivée de la navette dans :
obj.Destroy HF1337	Détruire le HF1337
obj.Hull:	Carlingue :
obj.Energy:	Énergie :
obj.Deactivate the cannon	Désactiver le canon
obj.Power cores left:	Noyaux d’alimentation restants :
	
// JUNKYARD	
obj.Teleport	Téléporter
obj.Clean up time:	Temps de nettoyage :
obj.Defeat Gorgar the Late	Vaincre Gorgar le tardif
obj.Defeat Trashmaster Ditz	Vaincre Trashmaster Ditz
obj.Defeat Xessk	Vaincre Xessk
	
// BSA	
obj.Defeat the Battle Yamu	Vaincre le Yamu de combat
obj.Defeat the Howling Horror	Vaincre l’Horreur monstrueuse
obj.Defeat all enemies	Vaincre tous les ennemis
obj.Defeat the machines	Vaincre les machines
obj.Defeat the third wave	Vaincre la troisième vague
obj.Defeat the Hellfires	Vaincre les Feux de l’enfer
obj.Go to start position	Revenir à la position de départ
obj.Enter The Arena	Entrer dans l’Arène
	
// DTB	
obj.investigate_dtb	Localiser le commandant de la base
obj.kill_frank	Éliminer Frank N. Stein
obj.kill_adam	Tuer Adam
	
// Kharum	
obj.Defeat Trashmaster Ulv	Vaincre Trashmaster Ulv
obj.Protect the village	Protéger le village
obj.Help the villagers to survive the attack	Aider les villageois à survivre à l’attaque
obj.Village is safe	Le village est sauf
obj.Talk to the village's High Priest	Parler au Grand prêtre du village
obj.Eliminate the threat	Éliminer la menace
obj.Attack sources neutralized:	Sources d’attaque neutralisées :
obj.Threat eliminated	Menaces éliminées
obj.Talk to Ran Boo	Parler à Ran Boo
obj.Find Ran Boo	Trouver Ran Boo
obj.Return to the village	Revenir au village
obj.Engage Trashmaster Ulv	Attaquer Trashmaster Ulv
obj.Activate the ancient device	Activer l’ancien appareil
obj.Power sources activated:	Sources d’alimentation activées :
obj.Help the village	Aider le village
	
// Safari	
obj.Kill the Queen	Tuer la reine
obj.Kill Mech 0	Tuer le robot 0
obj.Kill Jack	Tuer Jack
obj.Find Bill	Trouver Bill
obj.Kill Bill	Tuer Bill
obj.Explore the area	Explorer le secteur
