sid	text:fr
invitation_invalid	L’invitation de ‘[#]’ n’est plus valide.
invitation_sent	Vous avez envoyé une invitation au joueur ‘[#]’.
sl_invitationcanceled	Votre invitation a été annulée.
sl_invitationtimedout	Le délai de votre invitation a expiré.
sl_invitationnotfound	Ce joueur vous invite.
sl_invitationrejected	Votre invitation a été refusée.
	
//// Automatch-related texts	
automatcherr_playerleft	Le joueur ‘[#]’ a annulé la tentative de match automatique.
autojoinerr_timedout	Expiration du délai pour rejoindre.
autojoinerr_noplayers	La tentative de match automatique a été annulée car certains joueurs ne se sont pas manifestés.
	
//// GameSpy error messages	
gs_accountalreadycreated	Vous avez déjà créé ce compte.
gs_deleteaccount	Erreur d’effacement de compte. Ou votre mot de passe est incorrect ou ceci est le dernier profil de votre compte.
gs_incorrectpassword	Le mot de passe saisi est incorrect.
gs_invalidemail	L’adresse courriel fournie n’est pas valide.
gs_invalidnick	Le nom de joueur fourni n’est pas valide. Vous ne pouvez utiliser que des lettres (sans espace).
gs_invalidparams	Paramètres non valides.
gs_invalidpassword	Le mot de passe saisi n’est pas valide.
gs_login	Erreur lors de la tentative de connexion.
gs_loginincorrect	Les infos de connexion fournies sont incorrectes.
gs_nickalreadyused	Le nom de joueur sélectionné est déjà utilisé.
gs_persistisinprogess	Stockage des données de joueur en cours.
gs_persistloaderr	Erreur de chargement du profil de joueur.
gs_persistsaveerr	Erreur de sauvegarde du profil de joueur.
gs_servererror	Problème rencontré lors de la tentative de connexion au serveur.
gs_servicenotavailable	Le service en ligne de WorldShift n’est plus disponible.
gs_unabletoconnect	Connexion au serveur impossible, ou déconnexion lors de la tentative.
gs_unknown	Une erreur d’origine inconnue est survenue
gs_servicetemporarynotavailable	Service en ligne de WorldShift temporairement indisponible pour maintenance.
gs_qrsocket	Une erreur est survenue lors du rapport de la partie créée.
gs_qrbind	Une erreur est survenue lors du rapport de la partie créée.
gs_qrdns	Une erreur est survenue lors du rapport de la partie créée.
gs_qrconn	Une erreur est survenue lors du rapport de la partie créée.
gs_qrnochallenge	Une erreur est survenue lors du rapport de la partie créée.
requested operation timed out	Fin du délai de l’opération demandée.
	
//// Ability Grid window	
humans	HUMAINS
tribes	TRIBUS
the cult	LE CULTE
ability grid	GRILLE D’APTITUDES
inventory	INVENTAIRE
specialization	SPÉCIALISATIONS
defence	Xénotronics
implants	Nanotechnologie
weapon	Métachimie
nature	Nature
blood	Sang
mind	Esprit
power	Pouvoir
corruption	Corruption
dogma	Dogme
invalid	Créneau non valide !
stritemreject	S’ÉQUIPER DE CET ARTICLE EST IMPOSSIBLE
gems: 	Xénoshards : 
gems2	Xénoshards : [#]/[#]
nogems	Xénoshards insuffisants.
prednotrev	Vous devez découvrir les spécialisations précédentes.
noreqstars	Plus d’étoiles requises sur les spécialisations précédentes.
nostars	Nombre d’étoiles insuffisant.
reset	RÉINITIALISER
	
//// Settings window	
video	Vidéo
screen resolution:	Résolution d’écran :
fullscreen mode	Lire en mode plein écran
tex_detail	Détail des textures
tex_detail_vhigh	Très haut
tex_detail_high	Haut
tex_detail_med	Moyen
tex_detail_low	Faible
tex_detail_vlow	Très faible
shader_detail	Détail de Shader
shader_detail_high	Haut
shader_detail_med	Moyen
shader_detail_low	Faible
models_detail	Détail de modélisations
models_detail_high	Haut
models_detail_med	Moyen
models_detail_low	Faible
shadow_detail	Qualité des ombres
shadow_detail_normal	Normale
shadow_detail_low	Faible
shadow_detail_off	Non
reflections_check	Reflets
vsync_check	VSync
postprocess_check	Effets post-processus
sett_temp_info	Les réglages de Shader, ombres et VSync prendront effet au prochain démarrage du jeu.
audio	Audio
volume:	Volume :
mute sound	Muet
close	Fermer
	
//// Starting a game	
startgame_waitforjoin	ATTENDRE DE REJOINDRE LA PARTIE CRÉÉE...
startgame_waitforparty	ATTENDRE QU’UN JOUEUR REJOIGNE VOTRE PARTIE...
startgame_waitforplayers	ATTENDRE LES JOUEURS...
startstr	CHARGEMENT DE LA CARTE...
starting game	DÉMARRAGE DE LA PARTIE...
loading...	Chargement...
done	Terminé
	
//// Selection Info window	
effects	Effets
health_stat	Points de vie
health_stat_d	Les points de vie indiquent le niveau de dégâts que peut subir une unité avant sa destruction.
armour_stat	Armure
armour_stat_d	Les points d’armure indiquent la quantité de dégâts infligés par l’ennemi qui peuvent être déduits des points de vie actuels.
damage_stat	Dégâts
damage_stat_d	Cette propriété indique le nombre de points de vie qu’une seule attaque enlèvera à une cible sans armure.
damagerange_stat	Dégâts selon portée
damagerange_stat_d	La portée d’attaque d’une unité est divisée en ’sous-portées’. Une unité inflige ses dégâts maximum lorsque son ennemi est en vert dans sa portée. Les dégâts diminuent avec une portée jaune et son minimes quand elle est orange.
crit_stat	Chance de coup critique
crit_stat_d	Les coup critiques multiplient par deux les dégâts par défaut qu’une unité peut infliger.
manna_stat	Puissance
manna_stat_d	La puissance est nécessaire pour exécuter les coups spéciaux d’une unité.
shield_stat	Bouclier
shield_stat_d	Le bouclier absorbe partiellement les dégâts reçus par une unité. Il peut aussi les absorber en totalité sur une seule attaque. Quand il absorde les coups, le bouclier perd de sa force et si son intégrité tombe à 0 il cesse de fonctionner. Le bouclier se régénère tout seul si l’unité n’est pas attaquée pendant un certain temps.
description	Description
constructing	En construction
upgrading	Amélioration en cours
producing	En production
active	Actif
inactive	Inactif
stop	Stop
	
//// Faction resource names	
humans resources ttl	Ressources des humains
pvp.humans.res_name	Crédits
humans credits	Vous pouvez dépenser des crédits pour acquérir des unités, des améliorations et des actions globales. Le montant maximum de crédits est limité et il ne sert à rien d’essayer de trop les accumuler.
humans unit points	Les points d’unité (affichés comme inutilisé/total) limitent la taille de vos forces. Les différentes unités prennent différentes quantités de points sur un total donné.
tribes resources ttl	Ressources des tribus
pvp.mutants.res_name	Foyer
tribes credits	Vous pouvez dépenser du foyer sur les unités, les améliorations et les actions globales. Le montant maximum de foyer ramassé est limité et il ne sert à rien d’essayer de trop en accumuler.
tribes unit points	Les points d’unité (affichés comme inutilisé/total) limitent la taille de vos forces. Les différentes unités prennent différentes quantités de points sur un total donné.
the cult resources ttl	Ressources du Culte
pvp.aliens.res_name	Plasma
the cult unit credits	Vous pouvez dépenser du plasma sur les unités, les améliorations de bâtiments et les actions globales. Le montant maximum de plasma ramassé est limité et il ne sert à rien d’essayer de trop en accumuler.
the cult unit points	Les points d’unité (affichés comme inutilisé/total) limitent la taille de vos forces. Les différentes unités prennent différentes quantités de points sur un total donné.
	
//// Miscellaneous in-mission texts	
pause	PAUSE
resume	REPRENDRE
quit	QUITTER
items	ARTICLES
no items collected	PAS D’ARTICLE RAMASSÉ
cooldown	Recouvrement
menu button ttl	Bouton Menu
menu button	Ce bouton affiche le menu de mission.
strner	RESSOURCES INSUFFISANTES
strplr	LIMITE DE POPULATION ATTEINTE
strreqnotmet	CONDITIONS NON SATISFAITES
strobjbusy	ARTICLE UTILISÉ
strunderattack	VOS FORCES SONT ATTAQUÉES !
textofficer	Cliquez ici pour sélectionner un officier, cliquez à nouveau pour centrer la vue autour de l’officier.
empty officer slot	Créneau d’officier vide
textofficer_empty	Pour commander un officier, cliquez dans ce créneau vide et sélectionnez un type d’officier dans le menu.
textofficer_empty_mis_sp	Vous ne pouvez pas commander de nouveaux officiers dans une mission Histoire ou un lieu spécial.
textorder	Cliquez ici pour commander un nouvel officier du type affiché.
	
//// Victory/Defeat screen	
victory	Victoire
defeat	Défaite
observe	Observer
statistics	Statistiques
collected items	Articles ramassés
tech	Grille d’aptitudes
best_damage	Plus gros dégâts
best_healing	Meilleur soin
most_kills	Record de meurtres
most_deaths	Record de décès
most_commands	Record d’ordres
damage_taken	Dégâts subis
mis_complete	Mission terminée
mis_failed	Échec de mission
cur_time	Temps actuel
fastest_time	Meilleur temps
old_fastest	Ancien meilleur temps
items_taken	Articles pris
chs_rewards	Choisissez vos récompenses
chs_reward	Choisissez votre récompense
destroy_btn	Détruire
takeall_btn	Tout prendre
take_btn	Prendre
destroy_txt	Faites glisser un article de votre choix dans votre inventaire et détruisez le reste. Détruire des articles peut vous faire gagner des xénoshards.
destroy_succ	Vous avez détruit les artéfacts et réussi à extraire [#] xénoshards.
destroy_succ1	Vous avez détruit les artéfacts et réussi à extraire 1 xénoshard.
destroy_fail	Vous avez détruit les artéfacts mais vous n’avez pas réussi à extraire de xénoshard. Vous ferez mieux la prochaine fois !
continue	Continuer
