sid	text:de
Harvester.descr	Eine schwer gepanzerte Nahkampfeinheit, die organische Feinde in der Umgebung verlangsamt und sie betäuben kann. Kann sich zudem selbst heilen.
Hatchling.name	Brut
Hatchling.descr	Eine kleinere, schwächere Version des Trisat. Kann feindliche Angriffe auf sich ziehen.
Manipulator.name	Manipulator
Manipulator.descr	Ein Heiler, dessen regulärer Angriff getroffenen Feinden das Leben entzieht und es den Verbündeten in der Nähe zuführt. Kann einen heilenden Wirbel verursachen, der zufällig bestimmte Verbündete in der Nähe heilt.
Master.name	Meister
Master.descr	Eine starke Offensiv- und Heilereinheit. Kann Feinden Leben entziehen und es an Verbündete in der Nähe weitergeben. Verfügt zudem über einen starken Flächenangriff.
Overseer.field_name	Feldaufseher
Overseer.power_name	Energieaufseher
field_name.name	Feldaufseher
power_name.name	Energieaufseher
Overseer.descr	Gute Offensiv-Einheit. Verfügt über eine Spezialform, die die Energie der Verbündeten in der Nähe auffüllen kann.
Shifter.name	Wandler
Shifter.descr	Der Angriff des Wandlers schwächt manchmal die Angriffe des Ziels oder entzieht ihm Energie. Der Schild des Wandlers hat die Chance, sich selbst auf einen Trisat oder Tritech in der Nähe zu klonen. Der Wandler kann Brut hervorbringen.
Trisat.name	Trisat
Trisat.descr	Eine reguläre Nahkampfeinheit, die Feinde in der Nähe verlangsamt. Steigert nach Verursachen einer bestimmten Schadensmenge zeitweise die eigene Effektivität.
Tritech.name	Tritech
Tritech.descr	Eine reguläre Fernkampfeinheit. Hat die Chance, sich selbst beim Angriff zu heilen.
	
AncientShade.name	Ewiger Schatten
AncientShade.descr	Eine Unterweltkreatur, deren Angriffe die Panzerung der Feinde vollständig ignorieren.
Brute.name	Untier
Brute.descr	Eine gut gepanzerte Nahkampfeinheit, die feindliche Angriffe auf sich ziehen kann. Wird nach Versetzen eines tödlichen Schlags zeitweilig stärker.
Guardian.name	Hüterin
Guardian.descr	Eine starke Nahkampfeinheit. Kann Kopien von sich erstellen, die selbstständig kämpfen. Kann sich zudem in einen Spezialzustand versetzen, der Einheiten in der Umgebung einen Verteidigungsbonus verleiht.
GuardianIllusion.name	Hüterinnen Illusion
GuardianIllusion.descr	Kopie einer Hüterin.
HighPriest.name	Hohepriester
HighPriest.descr	Ein mächtiger und vielseitiger Magier. Kann organische Verbündete heilen und Feinde erstarren lassen. Verfügt über einen starken Spezial-Fernangriff.
HowlingHorror.name	Horror
HowlingHorror.descr	Langsame, mächtige Unterwelt-Nahkampfeinheit. Verfügt über eine spezielle Geisterform zur Selbstheilung.
Shaman.name	Schamane
Shaman.descr	Ein Heiler, dessen regulärer Angriff getroffenen Feinden Lebenskraft entzieht und sie auf Verbündete in der Nähe verteilt. Kann Verbündete in einem Bereich heilen und negative Effekte aufheben.
Sorcerer.name	Zauberer
Sorcerer.descr	Ein Spezialist im Umgang mit den Elementen Feuer und Eis. Sein regulärer Angriff verlangsamt den Feind. Kann Lavapfützen auf dem Boden erschaffen, die daraufstehende Einheiten verbrennen.
StoneGhost.name	Steingeist
StoneGhost.descr	Eine Unterweltkreatur, die Feinden Energie entziehen und sie an Verbündete in der Nähe weitergeben kann. Heilt zudem fortlaufend umstehende Verbündete aus der Unterwelt. Kann ein organisches Ziel infizieren, sodass es Seelenwürmer hervorbringt, wenn es stirbt.
Warrior.name	Krieger
Warrior.descr	Reguläre Fernkampfeinheit. Die Angriffe sind auf maximaler Distanz am stärksten.
Worker.name	Arbeiter
Worker.descr	Nicht für den Kampf ausgebildete Einheit für die Reparatur und das Errichten von Gebäuden.
Worm.name	Seelenwurm
Worm.descr	Eine durch den Zerfallszauber eines Steingeists hervorgerufene Unterweltkreatur.
	
// BUILDINGS //////////////////////////////////////////////////////////////////	
	
ControlTower.name	Kontrollturm
ControlTower.descr	Der Kontrollturm dient als Xenolit-Extraktor und Festung und kann mit Verteidigungsgeschütztürmen und einem Bewegungsmelder aufgerüstet werden. Außerdem kann er zum Ausheben von Truppen eingesetzt werden.
OreExtractor.name	Erz-Extraktor
OreExtractor.descr	Der Erz-Extraktor baut Xenolit ab und dient als Verteidigungsanlage. Kann zu einem Kontrollturm aufgerüstet werden.
	
Temple.name	Tempel
Temple.descr	Der Tempel macht die Energie des Xenolits nutzbar. Er greift zudem Feinde in der Nähe an und füllt die Energie und Trefferpunkte von Verbündeten in der Nähe auf. Dient auch zum Ausheben von Einheiten und Arbeitern.
Shrine.name	Schrein
Shrine.descr	Der Schrein macht die Energie des Xenolits nutzbar und heilt Verbündete in der Nähe. Dient auch zum Herbeirufen von Arbeitern. Der Schrein kann zu einem Tempel aufgerüstet werden.
	
Portal.name	Portal
Portal.descr	Das Portal verbraucht Xenolit. Es bringt zudem Eier hervor und hat einen negativen Einfluss auf Feinde in der Umgebung. Das Portal dient zum Ausheben von Einheiten und zum Bau von Brütern in entfernten Bereichen.
Breeder.name	Brüter
Breeder.descr	Der Brüter verbraucht Xenolit und produziert Eier. Er dient zum Ausheben einfacher Einheiten (Trisats und Tritechs) und kann zu einem Portal aufgerüstet werden.
	
// RESOURCES AND OTHER OBJECTS ////////////////////////////////////////////////	
	
Artifact1.descr	Dies ist ein altes Artefakt. Sie können es mit Ihrem Anführer untersuchen.
Artifact1.name	Artefakt
Artifact2.descr	Dies ist ein altes Artefakt. Sie können es mit Ihrem Anführer untersuchen.
Artifact2.name	Artefakt
BehaviorWaypoint.name	NPC behavior waypoint
MissionAreaCorner.name	Mission area corner
PersonnelCarrier.name	Personenfrachter
ReliefCell.name	Heilzelle
Thunder.name	Tornado
Vortex.name	Wirbel
Xenolite.name	Xenolit
XenoliteBarge.name	Xenolit-Frachter
	
// SPECIALIZATIONS ////////////////////////////////////////////////////////////	
	
I_A1A.name	Wahnsinn
I_A1A.text	Nachdem sie aufgehört haben, Schaden zu verursachen, dauert die Erzürnung Ihrer Trisats weitere [stats.frenzy_duration] Sekunden an.
I_A1H.name	Robustheit
I_A1H.text	Ihre regulären Einheiten erhalten [stats.hp] zusätzliche Trefferpunkte.
I_A1M.name	Donnerfokus
I_A1M.text	Der Blitzschlag Ihres Hohepriesters verursacht einen zusätzlichen Schaden von [stats.lightning_damage].
I_A2A.name	Überwältigen
I_A2A.text	Ihre regulären Einheiten verursachen einen zusätzlichen direkten Schaden von [stats.damage].
I_A2H.name	Übertakten
I_A2H.text	Die automatische Reparatur Ihrer kybernetischen Einheiten wird um [stats.hp_gen] beschleunigt. Die Erholungszeit entfällt. Sie verursachen außerdem einen zusätzlichen direkten Schaden von [stats.damage].
I_A2M.name	Erstarrungsbeherrschung
I_A2M.text	Der Erstarrungszauber Ihres Hohepriesters hält [stats.freeze_duration] Sekunden länger an.
I_B1A.name	Prophezeiung
I_B1A.text	Ihr Meister regeneriert seine Energie um [stats.psi_gen] schneller.
I_B1H.name	Ausweichen
I_B1H.text	Ihre Schlitzer haben eine Chance von [stats.elusion]%, direkte Fernangriffe aus der Nahkampfreichweite vollständig zu ignorieren.
I_B1M.name	Waffentraining
I_B1M.text	Ihre Krieger haben eine zusätzliche Chance von [stats.crit_chance]%, bei schweren Angriffen doppelten Schaden zu verursachen.
I_B2A.name	Feuerfokus
I_B2A.text	Ihre Tritechs erhalten eine zusätzliche Chance von [stats.crit_chance]%, ihrem Ziel doppelten Schaden zuzufügen.
I_B2H.name	Vernichtungsfeuer
I_B2H.text	Alle Ihre Einheiten haben eine um [stats.crit_chance]% höhere Chance, mit direkten Angriffen doppelten (schweren) Schaden anzurichten.
I_B2M.name	Energiebeherrschung
I_B2M.text	Ihr Hohepriester und alle Ihre Ältesten regenerieren ihre Energie um [stats.psi_gen] schneller.
I_B3A.name	Zellteilung
I_B3A.text	Wird ein Tritech vernichtet, erhalten Sie eine Chance von [stats.bio_split_chance]%, dass aus seinem Körper eine Brut von 2 - 3 Jungen entsteht.
I_B3H.name	Motivation
I_B3H.text	Soldaten haben eine Chance von [stats.motivation]%, Elitestatus zu erhalten, wenn sie einen schweren Angriff auf ihr Ziel ausgeführt haben.
I_B3M.name	Schattenbindung
I_B3M.text	Alle Ihre Unterwelteinheiten (Ewiger Schatten, Horror, Steingeist und Seelenwurm) regenerieren ihre Trefferpunkte [stats.hp_gen] schneller und ohne Erholungszeit.
I_C1A.name	Dämonenhunger
I_C1A.text	Durch die Lebensraubaktion Ihres Meisters erhalten Sie eine zusätzliche Heilung von [stats.feed_add_heal] pro Zeiteinheit und betroffenem Ziel.
I_C1H.name	Präzision
I_C1H.text	Alle Ihre Soldaten verursachen zusätzlichen direkten Schaden von [stats.damage].
I_C1M.name	Natürlicher Schutz
I_C1M.text	Alle Ihre regulären Einheiten erhalten [stats.hp] zusätzliche Trefferpunkte.
I_C2A.name	Unheil
I_C2A.text	Der Seelenernter erhält bei jedem Schlag eine Chance von [stats.confuse_chance]%, sein Ziel zu belasten, und es so zu zwingen, seine Angriffe auf den Seelenernter zu konzentrieren.
I_C2H.name	Nothilfe-Beherrschung
I_C2H.text	Die Nothilfe der Chirurgin hat eine zusätzliche Chance von [stats.bandage_crit]%, den doppelten Schaden zu heilen.
I_C2M.name	Heilungssegen
I_C2M.text	Die „Aura des Segens“ Ihres Hohepriesters heilt zusätzliche [stats.holy_aura_heal] Trefferpunkte.
I_D1A.name	Grenzheilung
I_D1A.text	Alle Ihre Einheiten regenerieren Trefferpunkte [stats.hp_gen] schneller, ohne sich zu erholen.
I_D1H.name	Grenzpanzerung
I_D1H.text	Der Lord Commander erhält zusätzliche [stats.armor] Panzerungs- und Trefferpunkte.
I_D1M.name	Naturfokus
I_D1M.text	Ihre Schamanen erhalten eine zusätzliche Chance von [stats.drain_life_chance]%, den Feinden Leben zu entziehen, während sie angreifen. Außerdem heben sie mit jedem Lebensentzug auch einen positiven Effekt bei ihren Zielen auf.
I_D2A.name	Panzerladung
I_D2A.text	Ihr Meister und alle Ihre Wächter erhalten [stats.hp] zusätzliche Trefferpunkte.
I_D2H.name	Spezialtraining
I_D2H.text	Alle Ihre Offiziere erhalten [stats.hp] zusätzliche Trefferpunkte.
I_D2M.name	Elementarfokus
I_D2M.text	Ihr Hohepriester, Zauberer und Schamane verursachen mit ihren direkten Angriffen zusätzlichen Schaden von [stats.damage].
I_D3A.name	Lebenskreislauf
I_D3A.text	Stirbt ein Trisat in Sichtweite seines Meisters, erhält letzterer eine Chance von [stats.bio_cycle_chance]%, ihn in seiner Nähe mit 25% Trefferpunkten wiederzubeleben. Wiederbelebte Trisats verlieren alle positiven Effekte, die sie vorher hatten.
I_D3H.name	Energieschub
I_D3H.text	Ihr Lord Commander und alle Ihre Offiziere regenerieren Ihre Energie um [stats.psi_gen] schneller.
I_D3M.name	Abrichtung
I_D3M.text	Ihre Untiere erhalten [stats.hp] zusätzliche Trefferpunkte und eine zusätzliche Panzerung von [stats.armor]. Außerdem erhalten die Untiere nach jedem Angriff (statt nur nach tödlichen Schlägen) eine Chance von [stats.ignite_on_strike_chance] auf „Entflammung“.
	
// GLOBAL ACTIONS /////////////////////////////////////////////////////////////	
	
AirAssaultAction.name	Luftangriff
AirAssaultAction.descr	Ruft Luftunterstützung aus der Heimatstadt. Für kurze Zeit bombardiert eine Flugstaffel die ganze Karte und konzentriert das Feuer auf feindliche Ziele. Also halten Sie Abstand von feindlichen Truppen und Gebäuden!
EliteSquadAction.name	Stoßtrupp-Soldaten
EliteSquadAction.descr	Ruft einen kleinen, speziell ausgebildeten Stoßtrupp, der zum angewiesenen Ort teleportiert wird. Die Stoßtrupp-Soldaten kämpfen auf Ihrer Seite, unterstehen aber nicht Ihrem Befehl. Befinden sich keine feindlichen Ziele in der Nähe, werden die überlebenden Stoßtrupp-Soldaten zurück in die Heimatstadt teleportiert.
ProtonBlastAction.name	Protonenschlag
ProtonBlastAction.descr	Veranlasst die Verteidigungsgeschütze der Heimatstadt, ein bestimmtes Gebiet zu beschießen. Das Protonenfeuer fügt allen Einheiten in großem Umkreis ernsthaften Schaden zu, allerdings auch Ihren eigenen!
	
	
MindVisionAction.name	Vision
MindVisionAction.descr	Lenkt die Naturenergien in ein bestimmtes Gebiet und macht es für X Sekunden sichtbar.
ThunderAction.name	Unwetter
ThunderAction.descr	Erschafft über einem bestimmten Gebiet einen Tornado, der Feinden mit Blitzschlägen Schaden zufügt.
NaturesGraceAction.name	Segen der Natur
NaturesGraceAction.descr	Befiehlt der Naturgewalt, sofort alle Schäden verbündeter Einheiten in einem bestimmten Gebiet zu heilen.
	
	
HorrifyAction.name	Entsetzen
HorrifyAction.descr	Versetzt alle feindlichen Einheiten in einem kleinen Gebiet in Panik, sodass sie wild um sich schießend weglaufen.
MarkOfChaosAction.name	Zeichen des Chaos
MarkOfChaosAction.descr	Kennzeichnet alle feindlichen Einheiten in einem großen Gebiet, fügt ihnen kontinuierlich geringen Schaden zu und macht sie für die Dauer des Effekts auf der Karte sichtbar.
InfestAction.name	Befall
InfestAction.descr	Ruft einen Brut-Befall der markierten Stelle hervor. Die Brut kämpft auf Ihrer Seite, untersteht aber nicht Ihrem Befehl. Befinden sich keine feindlichen Ziele in der Nähe, verschwindet die überlebende Brut.
	
// BUILDING ACTIONS ///////////////////////////////////////////////////////////	
	
BreederUpgrade.name	Portal
BreederUpgrade.descr	Rüstet den Brüter zum Portal auf.
CancelUnitProduce.name	Einheitenproduktion abbrechen
DetectMotionAction.name	Bewegungsmelder
DetectMotionAction.descr	Eine Aufrüstung, durch die der Kontrollturm alle bewegten Einheiten in einer bestimmten Reichweite erkennt.
OreExtractorUpgrade.name	Kontrollturm
OreExtractorUpgrade.descr	Rüstet den Erz-Extraktor zum Kontrollturm auf.
PerimeterDefenseAction.name	Geschütztürme
PerimeterDefenseAction.descr	Eine Aufrüstung, durch die der Kontrollturm drei Verteidigungsgeschütztürme erhält.
PossessAction.name	Ergreifen
PossessAction.descr	Infiziert ein ausgewähltes Xenolit-Vorkommen mit Konstruktionssporen. Wird hier in einer bestimmten Zeit nichts gebaut, entsteht automatisch ein Brüter.
RallyPoint.name	Sammelpunkt festlegen
ShiftingRayAction.name	Teleportation
ShiftingRayAction.descr	Teleportiert alle verbündeten Einheiten in der Umgebung des Meisters zum angegebenen Ziel.
ShrineUpgrade.name	Tempel
ShrineUpgrade.descr	Rüstet den Schrein zum Tempel auf.
SummonWorkersAction.name	Arbeiter rufen
SummonWorkersAction.descr	Ruft mehrere Arbeiter herbei, die Gebäude reparieren können und Schreine in der Nähe von Xenolit-Vorkommen errichten.
FireLashAction.name	Feuerpeitsche
FireLashAction.descr	Eine Aufrüstung, die die Tempelverteidigung deutlich steigert.
	
// UNIT ACTIONS ///////////////////////////////////////////////////////////////	
	
Reinforce.name	Verstärkung rufen
Reinforce.descr	
RainOfFireAction.name	Feuerregen
RainOfFireAction.descr	Zieht einige Meteoriten aus den noch jungen Erdgürteln auf die Erdoberfläche und verursacht verheerenden Schaden im Zielgebiet.
ActionRelief.name	Heilzelle
ActionRelief.descr	Die Chirurgin aktiviert eine besondere Heilzelle, die bei verbündeten Einheiten in ihrer Umgebung [stat:relief_healpersec] Trefferpunkte pro Sekunde heilt. Die Heilzelle bleibt [stat:relief_duration] Sekunden lang aktiv.
Barrage.name	Bombardement
Barrage.descr	Feuert eine kleine Salve von Ionenraketen aus großer Entfernung. Jede Rakete verursacht [stat:rocket_damage] Schaden in engem Umkreis.
BreedAction.name	Befall
BreedAction.descr	Der Wandler beschwört fünf Brut-Einheiten in das ausgewählte Gebiet. Sie greifen automatisch alle Feinde in ihrer Umgebung an.
ConfuseAction.name	Verwirren
ConfuseAction.descr	Ein taktisches Manöver, durch das alle Feinde in einem kleinen Bereich [stat:confuse_duration] Sekunden lang ihre Angriffe auf den Lord Commander konzentrieren, wobei dessen Panzerung gleichzeitig um [stat:confuse_armor_perc_buff]% verstärkt wird. Die Effektdauer wird verkürzt, wenn die betroffenen Feinde den Blickkontakt zum Lord Commander verlieren.
CorruptionAction.name	Zerfall
CorruptionAction.descr	Der Steingeist schädigt alle feindlichen Einheiten im ausgewählten Gebiet, wodurch sie [stat:corruption_duration] Sekunden lang [stat:corruption_damage] Schadenspunkte pro Zeiteinheit erleiden. Stirbt das Ziel währenddessen, entstehen einige Seelenwürmer, die das Gebiet beschützen und Feinde angreifen.
DarkVortexAction.name	Höllenwirbel
DarkVortexAction.descr	Erschafft einen Wirbel aus Unterweltenergie, der gelegentlich verbündete Einheiten in der Umgebung mit Unterweltlicht trifft und bei ihnen [stat:vortex_heal] Trefferpunkte heilt. Der Wirbel dauert [stat:vortex_duration] Sekunden an und verschwindet anschließend.
DominatorDimensionChainAction.name	Dimensionssperre
DominatorDimensionChainAction.descr	Alle Feinde im ausgewählten Gebiet sind [stat:dimension_chain_duration] Sekunden lang in einer Dimensionsstarre gefangen. Im Starrezustand sind Feinde betäubt, und erlittener Schaden jeglicher Art wird verdoppelt.
DominatorPowerFuseAction.name	Energieentzug
DominatorPowerFuseAction.descr	Alle feindlichen Einheiten in der Umgebung des Unterdrückers verlieren augenblicklich [stat:power_fuse_perc]% ihrer Energie.
FateLinkAction.name	Schicksalsband
FateLinkAction.descr	Der Ewige Schatten setzt sein Wissen ein, um [stat:fatelink_duration] Sekunden lang ein mächtiges Band mit einer verbündeten Einheit zu erschaffen. Jeglicher Schaden, den diese Einheit erleidet, wird aufgeteilt zwischen ihr und allen Ewigen Schatten, mit denen sie verbunden ist. Das Band wird zerstört, wenn der Ewige Schatten sich bewegt oder die verbündete Einheit sich aus seinem Blickfeld bewegt.
FearShockAction.name	Furchtschock
FearShockAction.descr	Flößt allen Feinden im ausgewählten Gebiet Angst ein, wodurch sie [stat:fear_shock_duration] Sekunden lang chaotisch fortlaufen.
FeedAction.name	Lebensraub
FeedAction.descr	Der Meister bündelt mächtiges Unterweltlicht, das [stat:feed_duration] Sekunden lang [feed_base_damage] Schaden pro Zeiteinheit verursacht. Es entzieht dem betroffenen Ziel gleichzeitig die gleiche Menge Leben und heilt damit verbündete Einheiten in der Umgebung des Meisters. Der Strahl wird beim Ziel aufgeteilt und springt auf weitere Ziele über. Die Effizienz der Heilung steigt mit jedem weiteren Ziel, der verursachte Schaden wird jedoch reduziert.
FireSweep.name	Feuersbrunst
FireSweep.descr	Verwüstet die Umgebung des Höllenfeuers und allen Zielen in seiner Nähe verursacht [stat:sweep_damage] Schaden. Achten Sie darauf, keine Verbündeten zu treffen!
ManipulateAction.name	Manipulate
ManipulateAction.descr	Removes all harmful effects from all friendly units in the selected area, increase their hitpoints by 25% and power by 15% for [stat:focus_duration] seconds.
FortifyAction.name	Festigung
FortifyAction.descr	Die Hüterin erschafft mit ihrer Energie eine Aura, welche die Panzerung aller verbündeter Einheiten in ihrer Umgebung um [stat:fortify_armor_add_perc]% und zusätzlich um [stat:fortify_armor] Punkte verbessert. Solange die Hüterin mit der Festigung beschäftigt ist, regeneriert sie ihre Energie nicht. Der Effekt hört auf zu wirken, sobald sie sich von ihrer Position entfernt. Dieser Effekt kann nicht vervielfacht werden.
FreezeAction.name	Erstarrung
FreezeAction.descr	Der Hohepriester setzt seine Energie ein, um einen Kältestrahl auf ein ausgewähltes Gebiet zu beschwören, wodurch seine Feinde [stat:freeze_duration] Sekunden lang erstarren.
FrostWaveAction.name	Frostwelle
FrostWaveAction.descr	Der Zauberer beschwört unmittelbar eine mächtige Frostwelle, die [stat:chill_duration] Sekunden lang alle betroffenen Einheiten um [stat:chill_perc]% verlangsamt.
HolyShockAction.name	Vitalstoss
HolyShockAction.descr	Der Hohepriester bündelt die Energien der Natur, um sie zur Regenerierung aller Trefferpunkte einer verbündeten Einheit zu verwenden.
HowlAction.name	Schrei
HowlAction.descr	Flößt allen Feinden in der Umgebung [stat:howl_fear_duration] Sekunden lang Angst ein und verwandelt sich für [stat:howl_duration] Sekunden in einen Geisterschatten. Der Geisterschatten heilt sich pro Zeiteinheit [stat:howl_hp_perc]% seiner Trefferpunkte und ignoriert [stat:howl_ignore_perc]% des gesamten erlittenen Schadens.
IllusionAction.name	Illusion
IllusionAction.descr	Die Hüterin erschafft mit ihrer Energie zwei Doppelgängerinnen. Die Illusionen bleiben [illusions_duration] Sekunden und verschwinden anschließend. Sie sind ebenso tödlich wie die Hüterin!
IncinerateAction.name	Entzünden
IncinerateAction.descr	Der Zauberer erhitzt im ausgewählten Gebiet den Boden und bringt ihn zum Schmelzen. Alle Einheiten, die auf den Lavapfützen stehen, erleiden pro Zeiteinheit [stat:incinerate_damage] Schaden. Der Effekt wirkt [stat:incinerate_duration] Sekunden.
InjectAction.name	Injektion
InjectAction.descr	Der Lord Commander injiziert sich selbst ein mächtiges Heilmittel, wodurch er in [stat:inject_duration] Sekunden [stat:inject_hp] Trefferpunkte regeneriert.
LightningAction.name	Blitzschlag
LightningAction.descr	Der Hohepriester bündelt seine Energie in einem tödlichen Blitz, der seinen Feinden [stat:lightning_damage] Schaden zufügt.
MendAction.name	Versorgen
MendAction.descr	Die Chirurgin setzt ihre Fähigkeiten und Geräte ein, um eine verbündete Einheit zu versorgen, und heilt über einen Zeitraum von [mend_duration] Sekunden insgesamt [stat:mend_heal] Trefferpunkte.
MorphAction.name	Verwandlung
MorphAction.descr	Verwandelt den Feldaufseher in einen Energieaufseher.
MorphAction.descr_field	Verwandelt den Feldaufseher in einen Energieaufseher.
MorphAction.descr_power	Verwandelt den Energieaufseher in einen Feldaufseher.
NanofixAction.name	Nanoreparatur
NanofixAction.descr	Der Ingenieur setzt eine Wolke energiegeladener, mikroskopisch kleiner Zellenbots frei, welche die ausgewählte verbündete Maschine umgehend repariert und ihr [stat:nano_fix_heal] Trefferpunkte regeneriert.
NetherNovaAction.name	Höllennova
NetherNovaAction.descr	Der Meister erzeugt mit Unterweltenergie eine Explosion, die allen Feinden in einem kleinen Gebiet [stat:nether_nova_damage] Schaden zufügt.
ProtonShotAction.name	Protonengranate
ProtonShotAction.descr	Der Vollstrecker feuert eine spezielle Protonengranate, die bei allen Feinden in einem kleinen Gebiet [stat:proton_shot_damage] Schaden verursacht und ihnen [proton_shot_power_burn] Energie entzieht, wodurch der Gesamtschaden etwas erhöht wird.
PurifyAction.name	Reinigung
PurifyAction.descr	Entfernt umgehend alle schädlichen Effekte von verbündeten Einheiten im ausgewählten Gebiet.
RenewAction.name	Erneuerung
RenewAction.descr	Der Schamane setzt seine Energie ein, um umgehend bei allen verbündeten Einheiten im ausgewählten Gebiet [stat:rejuvenation_amount] Trefferpunkte zu heilen.
RepairDrones.name	Reparaturdrohnen
RepairDrones.descr	Der Ingenieur aktiviert seine drei Reparaturdrohnen, die ihm folgen und beschädigte Einheiten in der Umgebung reparieren (ihn selbst eingeschlossen). Die Reparaturdrohnen bleiben [stat:repairdrones_time_to_live] Sekunden lang aktiv. Jede Drohne kann pro Zeiteinheit [stat:repairdrones_repair_per_tick] Trefferpunkte reparieren.
VoiceofCommandAction.name	Sperrfeuer
VoiceofCommandAction.descr	Beordert alle Soldaten und rangniederen Einheiten in ein kleines Gebiet. Ihre Angriffseffizienz wird [stat:voiceofcommand_duration] Sekunden um [stat:voiceofcommand_damage_perc]% verbessert.
TeleportOfficerAction.name	Offizier teleportieren
TrackAction.name	Verfolgung
TrackAction.descr	Ein mächtiger Schuss, der dem Ziel des Assassinen eine Sonde implantiert. Das verfolgte Ziel erleidet [stat:poison_shot_duration] Sekunden lang pro Zeiteinheit [stat:poison_shot_damage] Punkte Schaden. Zudem ist es auf der Karte sichtbar.
UnholyPowerAction.name	Finstere Macht
UnholyPowerAction.descr	Der Steingeist entzieht der Unterwelt Energie und erfüllt alle verbündeten Einheiten in der Umgebung mit Energie. Der Effekt steigert die Gesamtenergie der betroffenen Einheit pro Sekunde um [stat:unholy_power_restore_perc]%. Der Effekt hält [stat:unholy_power_duration] Sekunden oder bis der Steingeist bewegt wird bzw. stirbt.
VitalitySurgeAction.name	Lebensschub
VitalitySurgeAction.descr	Regeneriert umgehend [stat:vitality_surge_gain]% der Trefferpunkte des Seelenernters.
Worker.WorkerRepairAction.name	Gebäudereparatur
	
// BUILDING ABILITIES /////////////////////////////////////////////////////////	
	
ControlTower.abilities.LargeCrew.name	Reparaturgroßeinsatz
ControlTower.abilities.LargeCrew.text	DESCRIPTION
ControlTower.abilities.MotionScanner.name	Bewegungsmelder
ControlTower.abilities.MotionScanner.text	Der Kontrollturm erkennt alle bewegten Einheiten in einem bestimmten Umkreis.
OreExtractor.abilities.SmallCrew.name	Reparatureinsatz
OreExtractor.abilities.SmallCrew.text	DESCRIPTION
	
Shrine.abilities.SpiritTapAbi.name	Geistesgabe
Shrine.abilities.SpiritTapAbi.text	Alle [stat:spirit_sanctum_interval] Sekunden stellt der Schrein [stat:spirit_sanctum_hp_perc]% der Trefferpunkte aller lebenden verbündeten Einheiten in einem mittelgroßen Umkreis wieder her.
Temple.abilities.DarkWindAbi.name	Dunkelwind
