sid	text:de	spoken
briefings.21 aurora	Aurora war eine neue Megastadt, die unter der Federführung des Ordens heimlich von Menschen und Mutanten gemeinsam errichtet wurde. Sie lag auf dem Kontinent „Neue Hoffnung“. Die Stadt war noch nicht fertiggestellt, aber bereits bewohnt. Neben dem von den anderen Megastädten bekannten Schild, der vor der Plage schützen sollte, besaß Aurora einen weiteren Schild, der die Stadt vor neugierigen Blicken verbergen sollte. Da den Mutanten das Leben in einem riesigen Betonturm nicht behagte, hatten sie Siedlungen in der Umgebung der Stadt errichtet.<nl><nl>Nachdem sie sie aus dem Regentenpalast in Saling geschleust hatte, brachte Kuna Denkar, Arna, Ganthu und Eji nach Aurora.	no
briefings.21 denkar	Der Orden hatte die militärische Laufbahn von Denkar ni’Varra in Saling aufmerksam verfolgt, daher wussten die Ratsmitglieder, dass er ein fähiger Befehlshaber war. Als der Angriff der Außerirdischen begann, ernannte man ihn umgehend zum Lord Commander von Aurora und entsandte ihn, eine Forschungseinrichtung am Stadtrand zu verteidigen. Denkar war noch immer verwirrt, konnte sich keinen Reim auf seine wundersame Rettung aus Saling machen und musste nun einem unbekannten Feind die Stirn bieten.	no
briefings.21 kuna	Vollstreckerin Kuna ni’Dahl ist geheimes Mitglied einer Organisation namens „der Orden“. Nachdem sie dem Orden von den Umständen von Denkars Verhaftung berichtet hatte, trug man ihr auf, ihn mit seiner Schwester und den Mutanten in die geheime Stadt Aurora in Sicherheit zu bringen. Kuna setzte die Wächter außer Gefecht und verwendete ein spezielles technomagisches Gerät, um sich und die Gefangenen nach Aurora zu teleportieren.	no
briefings.21 order	Der Orden ist eine Geheimorganisation, die in allen fünf Menschenstädten tätig ist. Seine Mitglieder sind überzeugt, dass die Zukunft von Menschen und Mutanten davon abhängt, dass beide Lager miteinander leben und zusammenarbeiten. Der Orden wählt seine Mitglieder sorgsam und unter größter Geheimhaltung. Nur gleichgesinnte Individuen kommen für die Ratsmitglieder in Frage. Der Orden bietet auch Menschen mit verborgenen Mutationen Zuflucht. etwa jenen mit spiritistischen Fähigkeiten, die bei der Geburt nicht entdeckt wurden. Solche Fähigkeiten betrachtet der Orden als Ergebnis der Evolution statt als Bedrohung.<nl><nl>Die ersten Früchte gemeinsamen Schaffens von Mensch und Mutant sind bereits greifbar: Neue Technologien wurden entwickelt, die herkömmliche Technik mit Magie verbinden, und auf dem Kontinent „Neue Hoffnung“ wird eine ganze Stadt neu errichtet.	no
briefings.21	Denkar, Ganthu und Eji gelangten zur Spitze des Stadtturms – doch sie wurden entdeckt. Im Eingangsbereich von Arnas Haus trafen sie auf Soldaten und Joss ni’Marten, der Arna mit der Waffe bedrohte. Denkar war gezwungen, sich zu ergeben.<nl><nl>Joss ni’Marten sperrte Arna und die Gefangenen in Arnas Haus. Die Lage schien aussichtslos, doch nur kurze Zeit: Vollstreckerin Kuna ni’Dahl war mit dem Wachdienst betraut. Sie überwältigte die Wärter und teleportierte sich und die Gefangenen mit einem seltsamen Gerät nach Aurora ins Hauptquartier des Ordens.<nl><nl>Als Denkar und seine Gefährten den hochrangigen Vertretern der Stadt vorgestellt wurden, griffen Unbekannte Aurora an. Der Ordensrat befahl Denkar, den Verteidigern zu helfen.	yes
briefings.22 diary	Das Tagebuch von Onkar ni’Varra enthält Aufzeichnungen, die er im Rahmen seiner archäologischen Expeditionen gesammelt hat. Dazu zählen Legenden von Menschen und Mutanten sowie andere Erkenntnisse über die frühe Vorzeit. Zusammen mit dem Wissen des Ordens könnte das Tagebuch Hinweise geben auf die Lage der „vergessenen Stadt“. Doch das Tagebuch liegt irgendwo an jener Stelle im Urwald, an der Onkar von Varun-Truppen angegriffen wurde.	no
briefings.22 lost_city	Die vergessene Stadt der Menschen ist ein uralter Mythos. Nur wenige kennen ihn, kaum jemand glaubt an ihn, und niemand weiß, wo die Stadt sein soll. Der Sage nach erbauten Menschen und Mutanten die Stadt, die viele Jahre gedieh, bis sie eines Tages einfach verschwand.<nl><nl>Der Orden scheint dieser Legende Glauben zu schenken, und der Rat ist davon überzeugt, dass die vergessene Stadt ein Geheimnis birgt, das die Zukunft von Menschen und Mutanten ändern kann: eine Waffe gegen die Plage.	no
briefings.22 meeting	Die Ratsmitglieder verrieten Denkar und seinen Gefährten, dass der Orden nach der sagenhaften verlassenen Stadt der Menschen suchte, die die Vorgängerin der heutigen fünf Megastädte war. Den Legenden und kargen archäologischen Funden zufolge wurde sie vor Jahrhunderten von den Urvätern von Menschen und Mutanten erbaut und birgt Wissen, das die Zukunft beider Völker zu ändern vermag.<nl><nl>Denkar und Arna beschlossen, das Werk ihres Vaters zu vollenden und dem Orden nach Kräften zu helfen. Auch Ganthu sah eine Verbindung zwischen der vergessenen Stadt und der Erlöser-Prophezeiung. So bot auch er seine Hilfe an – sehr zur Freude Ejis, für die die Angelegenheit ein großes Abenteuer war.	no
briefings.22	Während Denkar den Angriff der Aliens abwehrte, setzte Eji in der Stadt ihre Heilkünste ein, um Arna von der Wirkung von ni’Martens Medikamenten zu befreien.<nl><nl>Später wurden die Geschwister ni’Varra, Ganthu und Eji wieder vor den Rat bestellt. Sie erfuhren, dass der Orden die sagenhafte vergessene Stadt suchte. Denkar und Arna beschlossen, dem Rat zu helfen. Auch Ganthu, der glaubte, dass diese Angelegenheit mit dem Schicksal der Erlöserin verbunden war, schloss sich ihnen an.<nl><nl>Das Archiv der Familie ni’Varra ist ihnen versperrt. Onkars Forschungsergebnisse können sie nur erlangen, wenn sie sein Tagebuch finden, das er bis zum Tod bei sich trug – eine Aufgabe, der Denkar mit gemischten Gefühlen begegnet.	yes
briefings.23 diary	Denkar konnte das Tagebuch seines Vaters bergen, musste jedoch feststellen, dass es verschlüsselt war. Glücklicherweise stellte sich heraus, dass Arna im Besitz des Codes war, da sie Onkar gelegentlich bei seinen Analysen geholfen hatte. Doch auch in entschlüsselter Form warfen die zahllosen Datenfragmente und Kopien von Inschriften viele Fragen auf.<nl><nl>Nachdem sie Onkars Daten mit den Erkenntnissen aus dem Ordensarchiv verglichen hatten, beschlossen sie, in Inca weiter zu suchen. Dort sollte es zur Blütezeit der vergessenen Stadt einen Außenposten der Menschen gegeben haben.	no
briefings.23	Onkars Tagebuch und dem Ordensarchiv zufolge hatte es in Inca einen Außenposten der vergessenen Stadt gegeben.<nl><nl>Denkar fliegt mit einer Einheit des Ordens und einem kleinen Forschungsteam dort hin. Doch wie erwartet stoßen sie auf Hindernisse: Einige Minuten vor ihrer Ankunft melden die Sensoren des Schiffs ungewöhnliche Bewegungen und hohe Energiesignaturen – der Zielort ist keineswegs unbewohnt.	yes
briefings.24	Unterwegs besuchten Denkar und seine Gefährten zahlreiche Orte und fanden viele vereinzelte Dinge heraus, darunter den Namen der vergessenen Stadt: Esperanza. Ihre genaue Lage jedoch blieb im Dunkeln.<nl><nl>Die jüngsten Hinweise haben die Gruppe inzwischen ins kalte Ödland Amerikas geführt, wo einst ein großer Außenposten Esperanzas war. Wenn die vorliegenden Informationen stimmen, muss sich dort ein gut erhaltener unterirdischer Komplex befinden.	yes
briefings.25 final_clue	Im Tunnelsystem des alten Außenpostens wussten Denkar und seine Gefährten bald nicht mehr weiter: Eine große Kreuzung mit eingestürzten Zugängen schien wie eine Sackgasse. Die Wand zierte ein riesiges Relief einer Weltkarte, das unter seiner Staubschicht noch immer golden glänzte. Die Stützpunkte und Außenposten lagen verstreut über alle Kontinente, und sie alle waren mit einem einzelnen goldenen Knotenpunkt wie durch Sonnenstrahlen verbunden. Auch ohne Inschrift war seine Bedeutung offensichtlich. Er war das Herz der Gesellschaft, deren Künstler diese Karte erschaffen hatten: Esperanza!	no
briefings.25	Den alten Aufzeichnungen zufolge hatten Viele versucht, Esperanza nach dem Fall zu finden, doch Niemandem gelang dies. Viele verloren gar ihr Leben. Im Lauf der Jahrhunderte geriet die Stadt in Vergessenheit und wurde zur Legende. Der Rat hat entschieden, vorsichtig vorzugehen und nur einen kleinen Trupp ins neu entdeckte Esperanza zu entsenden.<nl><nl>Denkars Gruppe muss sich einen Weg durch die Randgebiete der alten Stadt bahnen und die Überreste des Hauptturms betreten.	yes
briefings.26	Denkar und seinen Gefährten gelang es, Esperanza zu betreten und ihre Alien-Verfolger vorerst abzuhängen. Eji spürte noch immer das wachsende telepathische Signal, mit dessen Hilfe sie der Gruppe den Weg wies.<nl><nl>Noch immer ist unklar, was die Aliens bei Esperanza suchen; doch ihre Absichten scheinen böse. Denkar, Ganthu und Eji müssen ihren Weg durch die alte Stadt finden und die Quelle des Signals erreichen.	yes
briefings.31 aliens	Die Jaar Lash sind ein mächtiges Alien-Volk, das zahlreiche Sternensysteme besiedelt und ihre Bevölkerung unterjocht hat. Die Untertanen wurden in eine Cyborg-Armee von Arbeitern, Knechten und Soldaten gezwungen.<nl><nl>Seit langer Zeit führten die Jaar Lash einen Krieg gegen einen überlegenen Feind, dem sie zu unterliegen fürchteten.<nl><nl>Im Laufe dieses Krieges wurde eine Jaar-Lash-Gruppierung, die einem Ritterorden aus früherer Zeit nicht unähnlich war, entehrt und zu Ausgestoßenen erklärt. Ihre Niederlage in einer bedeutsamen Schlacht hatte zur Vernichtung eines ganzen Sonnensystems geführt.<nl><nl>Jetzt bemüht sich dieser Kult um Wiedergutmachung, indem er seinem Volk auf eigene Weise hilft: Er sucht nach der Saat und setzt sie ein, um Angriffe kosmischen Ausmaßes gegen den Heimatplaneten des Feindes der Jaar Lash zu entfesseln.	no
briefings.31 resonator	Der Psi-Resonator ist ein altes Gerät aus Esperanza, das Menschen und Mutanten gemeinsam erschufen. Sein ursprünglicher Zweck war es, mächtigen Spiritisten die Verbindung mit der Scherbe zu ermöglichen und ihre Entwicklung sowie die Ausbreitung der Plage einzudämmen. Dies gelang den Esperantianern auch, doch dann geschah ein Unglück. Was genau sie tun wollten, ist unklar, aber die Auswirkungen waren katastrophal. Ein gewaltiger Ausbruch der Plage vernichtete die Verteidigung der Stadt und machte sie dem Erdboden gleich.<nl><nl>Der Psi-Resonator wurde betrieben von einer meisterhaften Verbindung aus menschlicher Technologie und Mutanten-Magie. Er vermochte es, jahrhundertelang still und leise weiterzuarbeiten und die Scherbe zu bändigen. So wurden die Jaar Lash an der Durchführung des Akzelerationsrituals gehindert.	no
briefings.31 sacrifice	„Vorsicht! Ich spüre, dass sich viele Feinde nähern“, schrie Eji. Dann brach urplötzlich das Chaos aus. Alien-Soldaten tauchten überall auf und spien brennendes Plasma. Ein riesiger Alien-Anführer erhob sich aus den Schatten, schleuderte Denkar mit einem mächtigen Hieb beiseite und holte zum Todesstoß aus.<nl><nl>Für einen Augenblick schien das Ende gekommen. In den Wirren wanderte Ejis Blick zu Ganthu. Ihr Mentor kauerte auf seinen Knien, seine Handflächen an die Schläfen gepresst. Er stand offensichtlich unter großer Anspannung. Dann sackte sein Körper leblos zusammen. Gleichzeitig wandte sich das große Alien Eji zu, und sie vernahm Ganthus Stimme in ihrem Kopf: „Alles in Ordnung, ich habe ihn. Seine Soldaten werden dich nicht angreifen. Doch ich fürchte, ich habe mich selbst verloren.“	no
briefings.31 seeds	Ganthu erfuhr von Tharksh, dass die Saat aus den Fragmenten einer lebendigen Welt besteht. Sie durchqueren den Weltraum auf der Suche nach geeigneten Planeten, von denen sie zehren und sie sich nach ihrem eigenen Vorbild formen können. Die ausgewachsenen Organismen spalten sich schließlich in neue Saatstücke auf.<nl><nl>Durch eine rituelle Prozedur namens „Akzeleration“ wird die gesamte Energie der Saat auf ein ausgewähltes Ziel konzentriert und so eine Schockwelle gebildet, die zur völligen Vernichtung eines Planeten führen kann. Bei diesem Vorgang wird jedoch auch der Wirtsplanet der Saat verwüstet oder gar zerstört.<nl><nl>Als sie die Saat auf der Erde fanden, versuchten die Jaar Lash umgehend, das Ritual auszuführen, wurden jedoch von einer mysteriösen Macht daran gehindert. Ein weiteres Hindernis bedeutete das Vorhandensein intelligenten Lebens: Auf Planeten, die so lange von der Saat befallen waren, trat dies nur äußerst selten auf.	no
briefings.31 tharksh	Meister Tharksh ist ein einflussreiches Mitglied des Kultes und schuldet nur dem Erzmeister selbst Rechenschaft. Als einer von mehreren Meistern, die dafür verantwortlich sind, den Psi-Resonator zu sichern und zu zerstören, ist er seinem Ziel sehr nahe gekommen.<nl><nl>Der Geist des Hohepriesters Ganthu hat Tharkshs Körper unter Kontrolle, doch seine Macht über ihn kann nicht von Dauer sein. Nichtsdestotrotz befehligt Ganthu Tharkshs Kämpfer, und er wird sie einsetzen, um Denkar zu helfen.	no
briefings.31	Als die Gruppe das alte Gerät erreichte, wurde sie von Aliens umzingelt. Gerade wollte ihr Anführer Denkar den Todesstoß versetzen, als Ganthu seinen eigenen Körper opferte, um vom Geist des Aliens Besitz zu ergreifen.<nl><nl>Ganthu las die Gedanken des Aliens und offenbarte seine Herkunft und Absichten. Die Aliens wollten die Scherbe als Waffe gegen einen mächtigen Feind einsetzen. Doch dabei würde der Wirtsplanet zugrunde gehen. Das Gerät aus Esperanza verhinderte ihr Vorhaben.<nl><nl>Der Weg zurück ist von Jaar Lash versperrt und Ganthus erlahmender Geist steckt in Meister Tharkshs Körper. Die einzige Chance scheint es, das Artefakt auf Tharkshs Schiff zu bringen und zur Scherbe zu fliegen, um die Jaar Lash an der Durchführung des Rituals zu hindern.	yes
briefings.32 aa	Der Kult hatte in dieser Gegend eine Flugabwehrstellung eingerichtet, die in der Lage war, jegliche Flugsteuerung aus großer Entfernung zu deaktivieren. Überrascht und mit verlangsamtem Reaktionsvermögen durch Ganthus Kontrolle konnte Tharksh das Schiff nur mit Mühe notlanden. Der Gruppe fehlt es an Ersatzteilen, um das Schiff wieder flugtauglich zu machen.<nl><nl>Und natürlich haben die Jaar Lash umgehend Patrouillen zur Absturzstelle entsandt.	no
briefings.32	Unter Ganthus Kontrolle hatte Tharksh sein Schiff zur Scherbe gesteuert, doch eine Flugabwehrstellung der Jaar Lash spürte es über Ostsibirien auf und setzte es außer Gefecht. Sofort tauchten Soldaten des Kults vor Ort auf.<nl><nl>Denkar, Eji und Ganthu, der noch immer die Kontrolle über Tharksh hat, müssen sich mit Tharkshs Truppen verteidigen und einen anderen Weg finden, mit dem Psi-Resonator zur Scherbe zu gelangen.	yes
briefings.33 help	Als sich Denkar mit Aurora in Verbindung setzte, entschied der Rat, dass es der gefährdeten Tarnung zum Trotz besser sei, die Operation so unauffällig wie irgend möglich weiterzuführen. Eine große Schutztruppe um den Psi-Resonator würde ihn nur den Jaar Lash offenbaren. Vollstreckerin Kuna ni’Dahl, jüngst zum Commander ernannt, begab sich unverzüglich mit wenigen Aurora-Einheiten und Arna ni’Varra zu Denkar.	no
briefings.33	Als die Umgebung von Tharkshs Schiff gesichert war, erreichte Denkar endlich Aurora und erstattete Bericht. Kuna ni’Dahl war sofort bereit, ihm zu helfen, und Arna brach mit ihr auf.<nl><nl>Da sie von der Flugabwehrstellung der Jaar Lash wusste, flog Kuna sehr tief und gelangte so in die Nähe des Alien-Stützpunkts. Als die Steuerung des Schiffs versagte, reagierte sie schnell und konnte es unbeschadet landen.<nl><nl>Kunas Suchtrupp muss nun die Alien-Stellung außer Gefecht setzen, damit der Luftraum dort wieder sicher ist.	yes
briefings.34 jurra	Jurra ist eine Menschenstadt in Nordsibirien.<nl><nl>Eine Jurra-Expedition hatte den Absturz des Alien-Schiffes aus sicherer Entfernung beobachtet. Im Rahmen ihrer Expeditionen hatten die Menschen von Jurra bereits Kontakt mit den Jaar Lash. Der Commander von Jurra war nicht dumm und schickte in der Hoffnung auf wertvolle Technologien und andere Schätze im Wrack Truppen aus, die die feindlichen Aliens eliminieren und die Gegend sichern sollten.<nl><nl>Unterdessen griffen auch die Mutanten dieser Region, die ohnehin genug von den Jurra-Expeditionen in ihrem Land hatten, zu den Waffen.	no
briefings.34	Die Menschen aus Jurra hatten die Bruchlandung von Tharkshs Schiff beobachtet und eine Expedition entsandt, um die Aliens zu beseitigen und das Schiff zu plündern. Den Mutantenstämmen der Gegend waren weder die Aliens noch die Jurra-Truppen willkommen.<nl><nl>Den Jurra-Truppen die Lage zu erläutern scheint unmöglich, und auch die Mutanten werden kaum zu überzeugen sein, dass dieser Jaar-Lash-Trupp die Retter der Erde beschützt. So scheint es, als müssten sich Denkar und Tharksh den Weg freikämpfen.	yes
briefings.35 hole	Der Höllenschlund ist das versengte, unwirtliche Ödland, in dem die Scherbe im späten 21. Jahrhundert auf der Erde landete und die Plage sich zu verbreiten begann.<nl><nl>Jetzt ist der Höllenschlund in der Hand des Kults. Zum Schutz ihrer Basen und der Scherbe selbst haben die Jaar Lash einen riesigen Kuppelschild um sie herum errichtet. Nur ihre Militäreinheiten können den Schild durchqueren, darum muss Ganthu/Tharksh auf eigene Faust weitergehen und einen Weg finden, seine Gefährten einzuschleusen.	no
briefings.35	Ursprünglich wollten sie den Psi-Resonator vernichten. Doch dann hatten die Jaar Lash festgestellt, dass er eine wertvolle Hilfe bei ihrem Vorhaben sein könnte. Daher erschien sein Verlust wie ein Todesstoß.<nl><nl>Doch Denkar weigerte sich, aufzugeben. Eji wollte nicht, dass Ganthus Opfer vergebens gewesen sein sollte. So waren sie entschlossener denn je, als sie auf den Suchtrupp stießen.<nl><nl>Sie setzten ihren Flug fort und gelangten schließlich zum Höllenschlund. Kuna tat ihr Bestes, um das Schiff der Scherbe anzunähern. Ein Hindernis bleibt: der Schild, mit dem die Jaar Lash das Zentrum der Plage umgeben haben.	yes
